Category,Book_Name,Author,Publisher,URL
Hardcover Fiction,Tailspin,by Sandra Brown ,"(Grand Central) - August 26, 2018",https://www.goodreads.com/book/show/37277042-tailspin?ac=1&from_search=true&qid=QN9ARhrPFn&rank=1
Hardcover Fiction,Texas Ranger,by James Patterson and Andrew Bourelle ,"(Little, Brown) - September 2, 2018",https://www.goodreads.com/book/show/36645967-texas-ranger?ac=1&from_search=true&qid=ACvAD4oS8Y&rank=1
Hardcover Fiction,The Fall of Gondolin, by J.R.R. Tolkien," (Houghton Mifflin Harcourt) - September 16, 2018",https://www.goodreads.com/book/show/39798828-the-fall-of-gondolin?ac=1&from_search=true&qid=1PsBzMnkCf&rank=1
Hardcover Fiction,Leverage In Death, by J.D.Robb ,"(St. Martin's) - September 23, 2018",https://www.goodreads.com/book/show/37638161-leverage-in-death?ac=1&from_search=true&qid=jCCy81RkhA&rank=1
Hardcover Fiction,Juror #3,by James Patterson and Nancy Allen," (Little, Brown) - September 30, 2018",https://www.goodreads.com/book/show/41090677-juror-3?ac=1&from_search=true&qid=WUxUe7gmnP&rank=2
Hardcover Fiction,Lethal White,by Robert Galbraith (aka J.K. Rowling) ,"(Mulholland/Little, Brown) - October 7, 2018",https://www.goodreads.com/book/show/42283287-lethal-white?ac=1&from_search=true&qid=rjge7asbgP&rank=1
Hardcover Fiction,An Absolutely Remarkable Thing,by Hank Green ,"(Dutton) - October 14, 2018",https://www.goodreads.com/book/show/24233708-an-absolutely-remarkable-thing?ac=1&from_search=true&qid=8KSkw90DEs&rank=1
Hardcover Fiction,A Spark of Light,by Jodi Picoult ,"(Ballantine) - October 21, 2018",https://www.goodreads.com/book/show/39072210-a-spark-of-light?ac=1&from_search=true&qid=pH2vnn8jPb&rank=1
Hardcover Fiction,The Next Person You Meet in Heaven,by Mitch Albom," (Harper) - October 28, 2018",https://www.goodreads.com/book/show/38718233-the-next-person-you-meet-in-heaven?ac=1&from_search=true&qid=gXX7oEdQLz&rank=1
Hardcover Fiction,Every Breath,by Nicholas Sparks ,"(Grand Central) - November 4, 2018",https://www.goodreads.com/book/show/38212843-every-breath?ac=1&from_search=true&qid=1YV8gb7Apa&rank=1
Hardcover Fiction,The Reckoning, by John Grisham ,"(Doubleday) - November 11, 2018",https://www.goodreads.com/book/show/38389488-the-reckoning?ac=1&from_search=true&qid=kmDg2frUD4&rank=1
Hardcover Fiction,Elevation,by Stephen King ,"(Scribner) - November 18, 2018",https://www.goodreads.com/book/show/38355410-elevation?ac=1&from_search=true&qid=CnsX1HkcDQ&rank=1
Hardcover Fiction,Past Tense,by Lee Child," (Delacorte) - November 25, 2018",https://www.goodreads.com/book/show/34019122-past-tense?ac=1&from_search=true&qid=qn5Nos2teg&rank=3
Hardcover Fiction,Look Alive Twenty-Five,by Janet Evanovich ,"(Putnam) - December 2, 2018",https://www.goodreads.com/book/show/38325516-look-alive-twenty-five?ac=1&from_search=true&qid=kbr7dmDksS&rank=1
Hardcover Fiction,Fire and Blood,by George R.R. Martin ,"(Bantam) - December 9, 2018",https://www.goodreads.com/book/show/39943621-fire-blood?from_search=true&qid=vSEnGj0iON&rank=9
Hardcover Fiction,Oathbringer,by Brandon Sanderson ,"(Tor) - December 3, 2017",https://www.goodreads.com/book/show/34002132-oathbringer?ac=1&from_search=true&qid=1KlejrROJm&rank=1
Hardcover Fiction,The People vs. Alex Cross,by James Patterson ,"(Little, Brown) - December 10, 2017",https://www.goodreads.com/book/show/34522506-the-people-vs-alex-cross?ac=1&from_search=true&qid=3C23TirURf&rank=1
Hardcover Nonfiction,The Threat,by Andrew G. McCabe," (St. Martin's) - March 10, 2019",https://www.goodreads.com/book/show/41939872-the-threat?from_search=true&qid=YVZSEMHonY&rank=6
Hardcover Nonfiction,The Right Side of History, by Ben Shapiro," (Broadside) - April 7, 2019",https://www.goodreads.com/book/show/42649659-the-right-side-of-history?ac=1&from_search=true&qid=a1SJo87EHF&rank=1
Hardcover Nonfiction,Life Will Be the Death of Me, by Chelsea Handler ,"(Spiegel & Grau) - April 28, 2019",https://www.goodreads.com/book/show/43885930-life-will-be-the-death-of-me?ac=1&from_search=true&qid=KceJ3I5ThM&rank=1
Hardcover Nonfiction,The Second Mountain, by David Brooks ,"(Random House) - May 5, 2019",https://www.goodreads.com/book/show/40642458-the-second-mountain?ac=1&from_search=true&qid=5VG2FC4rs1&rank=1
Hardcover Nonfiction,The Pioneers, by David McCullough," (Simon & Schuster) - May 26, 2019",https://www.goodreads.com/book/show/42201377-the-pioneers?from_search=true&qid=wbR02U6qst&rank=7
Hardcover Nonfiction,Howard Stern Comes Again, by Howard Stern ,"(Simon & Schuster) - June 2, 2019",https://www.goodreads.com/book/show/44414972-howard-stern-comes-again?ac=1&from_search=true&qid=00Do9ydrVG&rank=1
Hardcover Nonfiction,Unfreedom of the Press,by Mark R. Levin ,"(Threshold Editions) - June 9, 2019",https://www.goodreads.com/book/show/44595959-unfreedom-of-the-press?ac=1&from_search=true&qid=QNQVZ01g1e&rank=1
Hardcover Nonfiction,Educated, by Tara Westover," (Random House) - July 14, 2019",https://www.goodreads.com/book/show/35133922-educated?ac=1&from_search=true&qid=QbrD53WBj1&rank=1
Hardcover Nonfiction,Call Sign Chaos,by Jim Mattis and Bing West," (Random House) - September 22, 2019",https://www.goodreads.com/book/show/46037714-call-sign-chaos?ac=1&from_search=true&qid=Bq7q6T260t&rank=1
Hardcover Nonfiction,Talking to Strangers, by Malcolm Gladwell," (Little, Brown) - September 29, 2019",https://www.goodreads.com/book/show/43848929-talking-to-strangers?ac=1&from_search=true&qid=FVVX0kWi7M&rank=4
Hardcover Nonfiction,Inside Out, by Demi Moore ,"(Harper) - October 13, 2019",https://www.goodreads.com/book/show/45167624-inside-out?ac=1&from_search=true&qid=ZCNjoHWw4m&rank=1
Hardcover Nonfiction,Blowout,by Rachel Maddow," (Crown) - October 20, 2019",https://www.goodreads.com/book/show/45897523-blowout?from_search=true&qid=yvbHMuY6xL&rank=10
Hardcover Nonfiction,Me, by Elton John," (Holt) - November 3, 2019",https://www.goodreads.com/book/show/44303730-me?ac=1&from_search=true&qid=bhqq1PjQNU&rank=2
Hardcover Nonfiction,The Beautiful Ones, by Prince ,"(Spiegel & Grau) - November 17, 2019",https://www.goodreads.com/book/show/45201472-the-beautiful-ones?ac=1&from_search=true&qid=pBr3HFHPVG&rank=3
Hardcover Nonfiction,Triggered, by Donald Trump Jr. ,"(Center Street) - November 24, 2019",https://www.goodreads.com/en/book/show/46260072
Hardcover Nonfiction,Grant, by Ron Chernow," (Penguin Press) - January 7, 2018",https://www.goodreads.com/book/show/34237826-grant?ac=1&from_search=true&qid=nlkhBMCsl6&rank=1
Hardcover Nonfiction,Fire and Fury, by Michael Wolff ,"(Holt) - January 21, 2018",https://www.goodreads.com/book/show/36595101-fire-and-fury?ac=1&from_search=true&qid=1OUvJOjSx8&rank=1
Hardcover Nonfiction,Russian Roulette, by Michael Isikoff and David Corn," (Twelve) - April 1, 2018",https://www.goodreads.com/book/show/36222733-russian-roulette
Hardcover Nonfiction,Dear Madam President, by Jennifer Palmieri ,"(Grand Central) - April 22, 2018",https://www.goodreads.com/book/show/36262849-dear-madam-president?ac=1&from_search=true&qid=NwPpeVEfhZ&rank=1
Hardcover Nonfiction,FASCISM: A Warning, by Madeleine Albright with Bill Woodward," (Harper) - April 29, 2018",https://www.goodreads.com/book/show/35230469-fascism?ac=1&from_search=true&qid=dFYkObqm9m&rank=2
Hardcover Nonfiction,A Higher Loyalty, by James Comey ,"(Flatiron) - May 6, 2018",https://www.goodreads.com/book/show/35108805-a-higher-loyalty?ac=1&from_search=true&qid=eEdbaDZqYo&rank=1
Hardcover Nonfiction,The Soul of America, by Jon Meacham ,"(Random House) - May 27, 2018",https://www.goodreads.com/book/show/38385947-the-soul-of-america?ac=1&from_search=true&qid=oalhQ0Rgqn&rank=1
Hardcover Nonfiction,How to Change Your Mind ,by Michael Pollan," (Penguin Press) - June 3, 2018",https://www.goodreads.com/book/show/36613747-how-to-change-your-mind?ac=1&from_search=true&qid=mkGrbHTpd3&rank=3
Hardcover Nonfiction,The Restless Wave, by John McCain and Mark Salter ,"(Simon & Schuster) - June 10, 2018",https://www.goodreads.com/book/show/36254351-the-restless-wave?ac=1&from_search=true&qid=XRxvC2QHVa&rank=2
Hardcover Nonfiction,Calypso, by David Sedaris ,"(Little, Brown) - June 17, 2018",https://www.goodreads.com/book/show/38348476-calypso?ac=1&from_search=true&qid=lW3yb6aGLR&rank=1
Hardcover Nonfiction,Yes We (Still) Can, by Dan Pfeiffer," (Twelve) - July 8, 2018",https://www.goodreads.com/book/show/36342140-yes-we-still-can?ac=1&from_search=true&qid=yBZGKV8bhR&rank=1
Hardcover Nonfiction,"Liars, Leakers and Liberals", by Jeanine Pirro," (Center Street) - August 5, 2018",https://www.goodreads.com/book/show/36342165-liars-leakers-and-liberals?ac=1&from_search=true&qid=3oLfTOXh9I&rank=1
Hardcover Nonfiction,The Russia Hoax, by Gregg Jarrett ,"(Broadside) - August 12, 2018",https://www.goodreads.com/book/show/38633557-the-russia-hoax?ac=1&from_search=true&qid=wAaLrfpAma&rank=1
Hardcover Nonfiction,Unhinged, by Omarosa Manigault Newman," (Gallery) - September 2, 2018",https://www.goodreads.com/book/show/40226205-unhinged
