Book_ID,"('character', 'story')","('like', 'story')","('series', 'story')","('love', 'story')","('great', 'story')","('end', 'story')","('new', 'story')","('think', 'story')","('people', 'story')","('plot', 'story')","('life', 'story')","('stars', 'story')","('author', 'story')","('enjoyed', 'story')","('loved', 'story')","('interesting', 'story')","('world', 'story')","('murder', 'story')","('family', 'story')","('man', 'story')","('different', 'story')","('story', 'series')","('character', 'series')","('like', 'series')","('love', 'series')","('great', 'series')","('end', 'series')","('new', 'series')","('think', 'series')","('people', 'series')","('plot', 'series')","('life', 'series')","('stars', 'series')","('author', 'series')","('enjoyed', 'series')","('loved', 'series')","('interesting', 'series')","('world', 'series')","('murder', 'series')","('family', 'series')","('man', 'series')","('different', 'series')"
23.0,0.13,0.17,0.06,0.19,0.44,0.17,0.13,0.08,0.24,-0.03,0.28,0.18,0.19,0.16,0.03,0.18,0.1,0.33,0.08,0.12,0.04,0.29,0.29,0.2,0.39,0.39,0.25,0.31,0.15,0.25,0.19,0.38,0.44,0.28,0.35,0.5,0.28,0.36,0.0,0.38,0.29,0.28
24.0,0.18,0.16,0.25,0.1,0.18,0.07,0.21,0.16,0.24,0.15,0.08,0.16,0.11,0.03,0.23,0.16,0.7,0.06,0.08,0.13,-0.17,0.5,0.2,0.2,0.3,0.5,0.4,0.5,0.0,0.4,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0
25.0,0.14,0.15,-0.15,0.17,0.2,0.19,0.08,0.11,0.08,0.22,0.11,0.14,0.23,0.14,0.15,0.22,0.12,-0.13,0.09,0.17,0.17,0.26,0.39,0.38,0.35,0.7,0.34,0.47,0.28,0.55,0.24,0.25,0.48,0.36,0.7,0.5,0.2,0.32,0.5,1.0,0.35,0.62
26.0,0.09,0.13,0.13,-0.07,0.47,0.04,0.09,0.31,-0.02,0.16,0.05,0.33,0.19,0.4,0.02,0.07,0.55,0.1,-0.0,-0.01,0.3,0.24,0.27,0.23,0.3,0.33,0.2,0.22,0.2,0.22,0.18,0.2,0.08,0.21,0.42,0.26,0.28,0.48,0.21,0.12,0.22,0.3
27.0,0.36,0.25,0.29,0.33,0.35,0.22,0.21,0.3,0.28,0.33,0.24,0.07,0.3,0.17,0.51,0.51,0.1,0.24,0.37,0.21,0.63,0.28,0.32,0.34,0.34,0.36,0.36,0.25,0.31,0.37,0.34,0.2,0.38,0.33,0.52,0.41,0.41,0.22,0.36,0.38,0.31,0.3
28.0,-0.08,-0.05,-0.09,-0.27,-0.02,-0.05,-0.21,-0.2,-0.14,-0.25,-0.16,0.0,-0.24,-0.1,-0.53,-0.09,-0.47,-0.19,-0.63,-0.18,-0.14,0.03,-0.01,0.03,0.11,0.09,0.01,-0.09,0.0,-0.1,-0.11,0.0,-0.06,-0.04,-0.08,-0.05,-0.13,-0.23,-0.09,0.04,-0.12,-0.17
29.0,0.42,0.41,0.41,0.49,0.65,0.46,0.57,0.1,0.34,0.45,0.45,0.6,0.32,0.6,0.52,0.31,0.4,0.0,0.44,0.45,0.38,0.53,0.26,0.26,0.48,0.56,0.51,0.51,0.33,0.38,0.56,0.46,0.5,0.25,0.61,0.44,0.51,0.5,0.0,0.44,0.41,0.58
30.0,0.13,0.15,0.11,0.15,0.15,0.16,0.13,0.12,0.07,0.06,0.04,0.25,0.18,0.29,0.15,0.22,0.06,0.05,0.08,0.09,0.22,0.21,0.19,0.21,0.23,0.18,0.23,0.24,0.11,0.06,0.07,0.01,0.04,0.14,0.19,0.19,0.22,0.11,0.16,0.02,0.18,0.28
31.0,0.13,0.07,-0.07,0.19,0.2,0.14,0.03,0.15,0.07,0.08,0.04,0.14,0.28,0.13,0.37,0.11,-0.04,0.55,-0.3,0.07,0.0,0.05,-0.16,0.08,0.4,0.06,0.11,0.01,-0.15,-0.06,0.04,0.14,-0.17,-0.14,-0.07,0.0,-0.17,-0.01,-0.45,-0.1,0.04,0.0
32.0,0.29,0.28,0.24,0.23,0.41,0.3,0.26,0.23,0.14,0.23,0.27,0.3,0.31,0.26,0.27,0.39,0.24,0.11,0.02,0.22,0.13,0.19,0.27,0.22,0.25,0.2,0.17,0.2,0.23,0.15,0.2,0.17,0.22,0.18,0.26,0.21,0.29,0.25,-0.12,0.41,0.21,0.15
